-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                     chunk_fwd_kernel_o         0.00%       0.000us         0.00%       0.000us       0.000us     508.994us         0.07%     508.994us      10.604us            48  
void wvSplitK_hf_<__hip_bfloat16, 32, 3, 16, 8, 2, 2...         0.00%       0.000us         0.00%       0.000us       0.000us     494.745us         0.07%     494.745us      29.103us            17  
                          vllm::qwen_gdn_attention_core         1.20%      15.105ms         4.24%      53.256ms       1.110ms     458.747us         0.06%       7.462ms     155.452us            48  
void at::native::elementwise_kernel_manual_unroll<12...         0.00%       0.000us         0.00%       0.000us       0.000us     420.550us         0.06%     420.550us       7.788us            54  
                                    hipEventSynchronize        54.16%     680.650ms       105.11%        1.321s      12.463ms     385.950us         0.05%       2.776ms      26.186us           106  
                                    batch_memcpy_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     374.482us         0.05%     374.482us     374.482us             1  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     366.208us         0.05%     366.208us      10.463us            35  
                                     hipStreamWaitEvent         0.03%     340.430us         0.03%     340.430us       6.304us     365.556us         0.05%     365.556us       6.770us            54  
                                           aten::arange         0.05%     583.631us         0.20%       2.477ms      11.682us     362.577us         0.05%     725.154us       3.421us           212  
void (anonymous namespace)::elementwise_kernel_with_...         0.00%       0.000us         0.00%       0.000us       0.000us     362.577us         0.05%     362.577us       3.453us           105  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     345.751us         0.05%     345.751us       6.524us            53  
void wvSplitK_hf_sml_<__hip_bfloat16, 32, 2, 16, 8, ...         0.00%       0.000us         0.00%       0.000us       0.000us     318.866us         0.04%     318.866us      18.757us            17  
void at::native::elementwise_kernel_manual_unroll<12...         0.00%       0.000us         0.00%       0.000us       0.000us     300.046us         0.04%     300.046us       8.335us            36  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     291.052us         0.04%     291.052us       4.099us            71  
                                     aten::index_select         0.03%     349.920us         0.06%     771.840us      14.293us     283.806us         0.04%     296.244us       5.486us            54  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us     283.806us         0.04%     283.806us       8.347us            34  
